z_min z_max loglx_lo loglx_hi  LFsoft  LFsoft_lo   LFsoft_hi   Nsoft   LFhard     LFhard_lo    LFhard_hi   Nhard
 2.00 2.50 43.75 44.00   2.717E-05   2.386E-05   3.092E-05   67.05   5.131E-05   4.491E-05   5.857E-05   63.97
 2.00 2.50 44.00 44.25   1.910E-05   1.637E-05   2.227E-05   48.42   3.332E-05   2.925E-05   3.794E-05   66.50
 2.00 2.50 44.25 44.50   1.196E-05   1.004E-05   1.422E-05   38.41   1.892E-05   1.609E-05   2.221E-05   44.45
 2.00 2.50 44.50 44.75   5.950E-06   4.895E-06   7.218E-06   31.42   7.629E-06   6.022E-06   9.630E-06   22.17
 2.00 2.50 44.75 45.00   2.008E-06   1.560E-06   2.571E-06   19.79   2.320E-06   1.568E-06   3.381E-06    9.15
 2.00 2.50 45.00 45.25   6.800E-07   4.433E-07   1.024E-06    7.87   7.579E-07   4.399E-07   1.260E-06    5.29
 2.00 2.50 45.25 45.50   1.604E-07   5.980E-08   3.686E-07    2.13   1.935E-07   7.310E-08   4.408E-07    2.18
 2.00 2.50 47.25 47.50   1.082E-10   3.670E-11   2.637E-10    1.88   0.000E+00        -NaN        -NaN    0.00
 2.50 3.50 42.25 42.50   4.702E-05   1.975E-05   9.987E-05    2.57   1.645E-04  -4.010E-04   3.902E-03    0.09
 2.50 3.50 42.50 42.75   2.010E-05   9.842E-06   3.822E-05    3.45   2.329E-05  -1.991E-05   4.396E-04    0.12
 2.50 3.50 42.75 43.00   2.091E-05   1.373E-05   3.127E-05    8.10   5.459E-05   1.451E-05   1.525E-04    1.43
 2.50 3.50 43.00 43.25   1.706E-05   1.265E-05   2.285E-05   14.57   3.880E-05   2.213E-05   6.544E-05    5.03
 2.50 3.50 43.25 43.50   1.708E-05   1.394E-05   2.088E-05   29.18   2.819E-05   1.900E-05   4.119E-05    9.03
 2.50 3.50 43.50 43.75   1.672E-05   1.438E-05   1.941E-05   50.90   2.886E-05   2.287E-05   3.629E-05   22.87
 2.50 3.50 43.75 44.00   1.738E-05   1.528E-05   1.976E-05   68.00   2.734E-05   2.290E-05   3.257E-05   37.67
 2.50 3.50 44.00 44.25   1.025E-05   8.853E-06   1.187E-05   53.18   1.814E-05   1.562E-05   2.105E-05   51.30
 2.50 3.50 44.25 44.50   7.378E-06   6.161E-06   8.821E-06   36.37   1.327E-05   1.146E-05   1.536E-05   53.44
 2.50 3.50 44.50 44.75   5.725E-06   4.794E-06   6.825E-06   37.47   7.749E-06   6.486E-06   9.244E-06   37.25
 2.50 3.50 44.75 45.00   1.278E-06   9.410E-07   1.723E-06   14.01   2.409E-06   1.774E-06   3.246E-06   14.02
 2.50 3.50 45.00 45.25   4.159E-07   2.665E-07   6.356E-07    7.37   5.797E-07   3.112E-07   1.027E-06    4.27
 2.50 3.50 45.25 45.50   9.296E-08   3.307E-08   2.200E-07    2.00   1.332E-07   4.579E-08   3.222E-07    1.91
 2.50 3.50 45.50 45.75   2.223E-08   1.049E-09   1.105E-07    0.57   4.676E-08   8.233E-09   1.580E-07    1.02
 3.50 5.00 43.00 43.25   3.272E-06   1.061E-06   8.190E-06    1.77   9.602E-06   6.414E-08   6.262E-05    0.40
 3.50 5.00 43.25 43.50   2.717E-06   1.179E-06   5.641E-06    2.72   2.603E-06   7.747E-09   1.806E-05    0.37
 3.50 5.00 43.50 43.75   1.787E-06   8.880E-07   3.363E-06    3.56   2.769E-06   6.384E-07   8.304E-06    1.25
 3.50 5.00 43.75 44.00   2.637E-06   1.833E-06   3.749E-06   10.37   4.533E-06   2.494E-06   7.873E-06    4.56
 3.50 5.00 44.00 44.25   1.807E-06   1.254E-06   2.574E-06   10.27   3.894E-06   2.583E-06   5.774E-06    8.44
 3.50 5.00 44.25 44.50   1.149E-06   7.746E-07   1.680E-06    9.03   1.983E-06   1.315E-06   2.939E-06    8.44
 3.50 5.00 44.50 44.75   6.826E-07   4.180E-07   1.085E-06    6.27   9.104E-07   5.232E-07   1.526E-06    5.14
 3.50 5.00 44.75 45.00   1.162E-07   2.603E-08   3.532E-07    1.22   2.943E-07   9.974E-08   7.176E-07    1.87
 5.00 7.00 44.00 44.25   5.087E-07   1.707E-07   1.248E-06    1.85   6.678E-07   4.835E-08   3.009E-06    0.65
 5.00 7.00 44.25 44.50   1.796E-07   5.145E-08   4.820E-07    1.54   2.524E-07   1.405E-08   1.211E-06    0.60
