# Binned XLF estimates based on combining the hard-band or soft-band samples and correcting for absorption (Aird+15 Fig. 8)
# XLF estimates include Compton-thick sources.
# For the soft band, only bins with Nsoft>=1 should be plotted.
# For the hard band, only bins with Nhard>=1 should be plotted.
# LFsoft_lo, LFsoft_hi, LFhard_lo, LFhard_hi are 1sigma upper and lower limits, *not* error bars.
# zlo zhi   lblo  lbhi   LFsoft      LFsoft_lo   LFsoft_hi   Nsoft   LFhard     LFhard_lo    LFhard_hi   Nhard
 0.60 0.80 41.50 41.75   6.717E-04   5.068E-04   8.849E-04   16.22   1.423E-03   7.668E-04   2.514E-03    4.31
 0.60 0.80 41.75 42.00   5.102E-04   3.920E-04   6.608E-04   18.26   6.518E-04   3.932E-04   1.049E-03    5.97
 0.60 0.80 42.00 42.25   4.051E-04   3.221E-04   5.078E-04   23.46   5.344E-04   3.796E-04   7.446E-04   11.55
 0.60 0.80 42.25 42.50   3.384E-04   2.799E-04   4.085E-04   33.01   4.208E-04   3.291E-04   5.359E-04   20.69
 0.60 0.80 42.50 42.75   2.738E-04   2.324E-04   3.222E-04   43.32   2.835E-04   2.346E-04   3.419E-04   33.29
 0.60 0.80 42.75 43.00   2.293E-04   1.969E-04   2.668E-04   49.66   2.667E-04   2.296E-04   3.095E-04   51.27
 0.60 0.80 43.00 43.25   1.729E-04   1.489E-04   2.005E-04   51.70   2.045E-04   1.790E-04   2.335E-04   63.79
 0.60 0.80 43.25 43.50   1.234E-04   1.067E-04   1.425E-04   54.45   1.398E-04   1.210E-04   1.613E-04   55.03
 0.60 0.80 43.50 43.75   7.614E-05   6.605E-05   8.770E-05   56.61   8.162E-05   6.905E-05   9.636E-05   41.75
 0.60 0.80 43.75 44.00   3.568E-05   3.017E-05   4.214E-05   41.56   3.189E-05   2.573E-05   3.942E-05   26.44
 0.60 0.80 44.00 44.25   1.210E-05   9.477E-06   1.538E-05   20.95   1.240E-05   9.378E-06   1.630E-05   16.45
 0.60 0.80 44.25 44.50   4.093E-06   2.640E-06   6.222E-06    7.55   4.739E-06   3.305E-06   6.714E-06   10.55
 0.60 0.80 44.50 44.75   1.201E-06   5.110E-07   2.528E-06    2.63   2.074E-06   1.304E-06   3.222E-06    6.87
 0.60 0.80 44.75 45.00   6.937E-07   2.437E-07   1.655E-06    1.96   8.365E-07   5.432E-07   1.264E-06    7.75
 0.60 0.80 45.00 45.25   1.972E-07   4.161E-09   1.127E-06    0.47   1.267E-07   4.805E-08   2.881E-07    2.19
 0.60 0.80 45.25 45.50   1.839E-07   6.203E-08   4.499E-07    1.86   1.009E-08  -4.310E-10   1.212E-07    0.19
 0.80 1.00 41.00 41.25   1.336E-03   6.811E-04   2.463E-03    3.77   0.000E+00        -NaN        -NaN    0.00
 0.80 1.00 41.25 41.50   1.122E-03   7.374E-04   1.678E-03    8.12   2.878E-04  -4.385E-02   2.257E-02    0.03
 0.80 1.00 41.50 41.75   6.598E-04   4.589E-04   9.373E-04   10.41   3.577E-04  -3.782E-07   3.354E-03    0.25
 0.80 1.00 41.75 42.00   4.142E-04   2.915E-04   5.822E-04   11.02   3.455E-04   7.906E-05   1.040E-03    1.24
 0.80 1.00 42.00 42.25   2.810E-04   2.044E-04   3.831E-04   13.07   3.610E-04   1.908E-04   6.475E-04    4.11
 0.80 1.00 42.25 42.50   2.783E-04   2.204E-04   3.502E-04   22.71   2.868E-04   1.923E-04   4.211E-04    8.83
 0.80 1.00 42.50 42.75   2.462E-04   2.055E-04   2.945E-04   36.18   2.710E-04   2.084E-04   3.507E-04   18.37
 0.80 1.00 42.75 43.00   1.873E-04   1.598E-04   2.193E-04   45.98   2.110E-04   1.742E-04   2.551E-04   32.49
 0.80 1.00 43.00 43.25   1.599E-04   1.377E-04   1.856E-04   51.18   1.604E-04   1.370E-04   1.875E-04   46.68
